,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,,
1,1,1,"""=""""H2060764""""""",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,12/22/2022 3:45:42 PM,,,,,,,,,,,,,,
2,Background information,,,,,,,,,,,,,,,,,,,,,,,,,
3,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,
4,1,Jez US LUM 384 (cps),0,96,0.25,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,
5,Calculated results: Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,,,,,,,,,,,,,,,,,,,,,,,,,
6,,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
7,A,0.71339088782,0.71339088782,,,,,,,,,,,,,,,,,,,,,0.71339088782,0.71339088782,
8,B,0.71339088782,0.71339088782,,,,,,,,,,,,,,,,,,,,,0.71339088782,0.71339088782,
9,C,0.71339088782,0.71339088782,,,,,,,,,,,,,,,,,,,,,0.71339088782,0.71339088782,
10,D,0.71339088782,0.71339088782,,,,,,,,,,,,,,,,,,,,,0.71339088782,0.71339088782,
11,E,0.71339088782,0.71339088782,,,,,,,,,,,,,,,,,,,,,0.71339088782,0.71339088782,
12,F,0.71339088782,0.71339088782,,,,,,,,,,,,,,,,,,,,,0.71339088782,0.71339088782,
13,G,0.71339088782,0.71339088782,,,,,,,,,,,,,,,,,,,,,0.71339088782,0.71339088782,
14,H,0.71339088782,0.71339088782,,,,,,,,,,,,,,,,,,,,,0.71339088782,0.71339088782,
15,I,0.71339088782,0.71339088782,,,,,,,,,,,,,,,,,,,,,0.71339088782,0.71339088782,
16,J,0.71339088782,0.71339088782,,,,,,,,,,,,,,,,,,,,,0.71339088782,0.71339088782,
17,K,0.71339088782,0.71339088782,,,,,,,,,,,,,,,,,,,,,0.71339088782,0.71339088782,
18,L,0.71339088782,0.71339088782,,,,,,,,,,,,,,,,,,,,,0.71339088782,0.71339088782,
19,M,0.71339088782,0.71339088782,,,,,,,,,,,,,,,,,,,,,0.71339088782,0.71339088782,
20,N,0.71339088782,0.71339088782,,,,,,,,,,,,,,,,,,,,,0.71339088782,0.71339088782,
21,O,0.71339088782,0.71339088782,,,,,,,,,,,,,,,,,,,,,0.71339088782,0.71339088782,
22,P,0.71339088782,0.71339088782,,,,,,,,,,,,,,,,,,,,,0.71339088782,0.71339088782,
23,Plate information,,,,,,,,,,,,,,,,,,,,,,,,,
24,Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,,
25,1,1,"""=""""H2060764""""""",14.01,17.61,17.62,45.3,44.8,18,18.02,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,12/22/2022 3:45:42 PM,,,,,,,,,
26,Background information,,,,,,,,,,,,,,,,,,,,,,,,,
27,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,
28,1,Jez US LUM 384 (cps),0,96,0.25,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,
29,Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,,
30,,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
31,A,0.21563736218627072,0.2637881310510385,0.2911169458121229,0.23346616038754958,0.2579319564593775,0.2631374449852984,0.25350729121234483,0.24687029334179575,0.28304843859694556,0.2853909084336099,0.30842519516080963,0.31011697893173396,0.30035668794563236,0.2658703264614068,0.3868979346890663,0.29424023892767537,0.34421292877651544,0.2986649041747081,0.28734296663083025,0.27615116630010045,0.29840462974841203,0.32339097467283207,3.8089860916294254,3.916999978542283,0.0
